node,deg,deg_norm,betweenness,eigenvector,pagerank,cluster
adenomas,36,0.005203064,1.07E-06,0.005500542,7.52E-05,7
adequacy,17,0.002457002,4.51E-07,0.003426946,5.76E-05,4
adequate,237,0.034253505,4.93E-05,0.0196169,0.000244939,7
adhere,38,0.005492123,5.50E-06,0.0055268,9.70E-05,2
adherence,38,0.005492123,8.13E-07,0.006228024,8.53E-05,4
adhesive,19,0.002746062,8.57E-07,0.002839455,6.67E-05,2
adipose,33,0.004769475,3.88E-07,0.005279358,7.68E-05,7
adiposity,20,0.002890591,9.84E-09,0.00382493,5.26E-05,6
adjudicate,18,0.002601532,2.24E-08,0.003327178,5.61E-05,4
adjunct,35,0.005058534,5.11E-07,0.005193889,7.65E-05,7
adjunctive,56,0.008093655,1.38E-05,0.007307454,0.000107191,4
adjust,332,0.047983813,0.000123672,0.02476845,0.000324251,4
adjusted).446,20,0.002890591,2.87E-07,0.003732769,5.91E-05,2
adjustment,310,0.044804162,0.000107188,0.025276894,0.000320619,2
adjustment.28,17,0.002457002,2.91E-09,0.0036629,4.76E-05,2
administer,498,0.071975719,0.000460469,0.030057692,0.000446867,2
administration,393,0.056800116,0.00030131,0.026773346,0.000411799,2
admission,12,0.001734355,1.77E-08,0.002068921,4.24E-05,4
admit,68,0.00982801,1.49E-05,0.00818903,0.000134147,0
adolescence,64,0.009249892,2.56E-06,0.007755917,0.000103765,6
adolescent,37,0.005347594,1.20E-05,0.004022853,9.63E-05,9
adopt,62,0.008960832,8.95E-06,0.008592977,0.000115149,10
adrenal,264,0.038155803,8.79E-05,0.017472694,0.00027841,7
adult,527,0.076167076,0.000983439,0.026668808,0.000515117,6
adulthood,196,0.028327793,2.73E-05,0.016999469,0.000217692,7
advance,153,0.022113022,6.64E-05,0.015796323,0.000229778,4
advanced,208,0.030062148,0.000132541,0.017867561,0.000265204,9
advancement,87,0.012574071,8.76E-06,0.010710712,0.000135984,0
advantage,104,0.015031074,1.64E-05,0.01260191,0.0001519,0
advantageous,18,0.002601532,6.47E-07,0.003124751,5.60E-05,6
adverse,417,0.060268825,0.00030768,0.027934015,0.000438266,4
adversely,52,0.007515537,8.97E-07,0.007092332,8.44E-05,6
advertise,90,0.01300766,8.67E-06,0.011350336,0.000144586,0
advertisement,231,0.033386328,7.13E-05,0.017466585,0.000230308,7
advertisementadvertisement,47,0.006792889,1.95E-05,0.004432275,8.66E-05,9
advertising,80,0.011562365,4.14E-06,0.008496181,0.000118196,0
advice,207,0.029917618,0.000101482,0.018408373,0.000246251,0
advisable,60,0.008671773,1.96E-06,0.008203153,9.65E-05,6
advise,225,0.03251915,5.37E-05,0.018835351,0.000238441,4
advisory,27,0.003902298,3.16E-06,0.002573236,0.000102869,9
advocate,148,0.021390374,4.12E-05,0.015310777,0.000204133,0
aerobic,75,0.010839717,6.60E-06,0.009474112,0.000105452,10
aesthetic,70,0.010117069,1.36E-05,0.00853217,0.000140533,6
aetiology,19,0.002746062,1.85E-07,0.002591119,6.94E-05,7
affect,928,0.134123428,0.002121923,0.033723872,0.000686613,7
affected,30,0.004335887,2.32E-07,0.004846152,6.34E-05,6
