node,x,y,is_AMS
anorexia,-0.2945643025122422,-0.03904398296027759,0
anosmia,-0.11109614223714595,-0.2856140390451618,0
anschutz,0.08939865952908307,0.3868975686035009,0
answer,0.7741563850447174,-0.22880564534626696,0
antagonist,-0.18116912972323584,-0.25237532445305233,0
anterior,-0.3491487160865372,0.051946780194181696,0
anti,0.07411488056799485,-0.17964028449322086,0
antibiotic,-0.15794782395750592,-0.2758347693607152,0
anticipate,-0.11480857767716064,-0.05903849608217324,0
anticonvulsant,-0.2474507449947298,0.032744944358449,0
antidepressant,-0.04068359806842653,-0.025851276008142583,0
antifungal,-0.058514693887505194,-0.27558449055027334,0
antigen,-0.4195794013051698,0.07362690561592444,0
antioxidant,-0.05487209401596389,-0.2586104885115232,0
antonio,-0.11596702149022954,0.48162466320199204,0
anxiety,-0.03506400047162523,-0.440720641860349,1
anxious,-0.21876242807276094,-0.11761415252552769,0
anybody,0.19317211216338018,-0.09384855356338861,0
anymore,0.3647312027496994,-0.12614915276506952,0
anything-,-0.3090162843354899,-0.06538081495858575,0
aorta,-0.3393562787224289,0.06368423199713398,0
aortic,-0.21007845932868877,-0.23000358414102293,0
apart,0.06040939923160848,-0.17108770851053642,0
apart.432,-0.06469712515744712,-0.20162887355735543,0
apathy,-0.02676649279001422,-0.1759711084147439,0
aphrodisiac,-0.010334042794430818,-0.43085124187476104,0
apigenin,-0.145123545449421,-0.27697557486147784,0
aplastic,-0.5527774529054023,-0.1716014844527541,0
apnoea,-0.1427020132071257,-0.019207438699808392,0
apology,0.24677675309086025,-0.3615275350868279,0
app,0.32235939022909443,0.12123406663106626,0
appalachia,0.334838361225786,0.10924753317014248,0
apparent,-0.004957010670012727,-0.10515394419226688,0
apparently,0.33120812630279783,-0.07961026167127312,0
appearance,0.24073799912159624,-0.4344338687453938,0
appendix,-0.021838075565371522,0.09268089141967244,0
appetite,-0.1916618925723995,0.011071471006589608,0
apple,0.25889539468165845,0.09497280265876067,0
applicable,-0.20082685863679517,0.038805505684891675,0
application,0.046826331926884575,-0.3366359748660572,0
application.228,-0.06283801774043991,-0.1921378276617304,0
applied,-0.12231026586577347,-0.2839776853759392,0
appraisal,-0.044491522821117464,0.26899487436434283,0
appreciate,0.03259508694141923,-0.08225674657641549,0
appreciative,0.23932312648372184,0.047781180865872325,0
apprehensive,0.05063245241365086,-0.19054927187934978,0
approach,0.4235680761197838,-0.32163027840101394,0
appropriately,-0.1817317950747751,0.028214304348719563,0
approval,-0.16065860144235009,-0.18843471853440094,0
approve,-0.06567499038689581,-0.1506119598792948,0
