node,deg,deg_norm,betweenness,eigenvector,pagerank,community
confidential,19,0.0027460615695909813,3.7617173233030563e-06,0.004531474412639045,8.859898891882244e-05,3
confidently,10,0.0014452955629426219,1.309270901188175e-07,0.002989813921516905,5.3977345413217846e-05,5
confirm,214,0.030929325046972107,0.00033365279205969586,0.023935255932792728,0.0003426458942794936,3
confirmation,27,0.003902298019945079,1.2580638832781197e-06,0.0057176637068716025,9.567424115320699e-05,6
confirmatory,17,0.002457002457002457,1.9820297442076193e-07,0.0043684672754598615,6.661252625262877e-05,3
confirmed,8,0.0011562364503540975,4.92258023557618e-08,0.0026775697140161508,4.097092383082377e-05,7
conflict,57,0.008238184708772944,3.4628523258179435e-05,0.011021660575628348,0.00015814565282425478,2
conform,9,0.0013007660066483597,3.7701803211337006e-08,0.0028093864777774483,4.893399592739124e-05,3
conformance,10,0.0014452955629426219,6.561513675972844e-08,0.00321771623867838,5.294641005832165e-05,3
confound,27,0.003902298019945079,5.720661710762924e-06,0.005991889107381783,9.678221091855418e-05,1
confounder,10,0.0014452955629426219,2.2923159280858826e-06,0.002513064350531332,6.228849340313111e-05,2
confuse,17,0.002457002457002457,7.061537616445833e-08,0.005220600049323,5.719204581440635e-05,6
confused,9,0.0013007660066483597,5.2347372510534066e-08,0.002642320479290597,4.62443731154274e-05,0
confusing,27,0.003902298019945079,2.0354198199553905e-06,0.006471798098375834,8.584350052233808e-05,1
confusion,20,0.0028905911258852437,6.785874434547369e-07,0.004830998979238891,7.970401369712408e-05,3
congenital,111,0.016042780748663103,9.074690772099497e-05,0.013860348422284816,0.00021785633298548768,7
congestion,9,0.0013007660066483597,8.864199739431587e-08,0.0027394046910571568,4.798667620498402e-05,1
congestive,8,0.0011562364503540975,1.0451380739771028e-09,0.0024415838596534914,4.0603533471002213e-05,7
conjunction,58,0.008382714265067205,7.572440118174285e-06,0.010736026941578783,0.00012359471070152891,0
connect,107,0.015464662523486054,0.00013256954758891667,0.01520822016884565,0.0002412550926610739,3
connection,96,0.013874837404249168,2.6608356358174035e-05,0.0144638818073944,0.00016821021444111457,7
connotation,9,0.0013007660066483597,2.0430867190912422e-08,0.0032300885567356817,4.563953899800534e-05,0
consciousness,10,0.0014452955629426219,4.593060487334962e-08,0.002903994414822634,5.2356075294543995e-05,5
consensus,61,0.008816302933949994,5.341577334499826e-05,0.010632958379458475,0.00018422133744562262,2
consent,27,0.003902298019945079,3.4834798883684004e-07,0.0070875429990675766,7.867679038577097e-05,3
consequence,131,0.018933371874548344,9.846150146184619e-05,0.01809560307196553,0.00024871637237849117,5
consequently,15,0.0021679433444139326,2.301412988326717e-06,0.003712036688667547,6.539116410567504e-05,6
conservative,20,0.0028905911258852437,2.0973212403819087e-06,0.00507625109676471,8.571452599925904e-05,5
conservatively,8,0.0011562364503540975,1.4862182396386228e-07,0.0023478997005952733,5.337652499363652e-05,3
conserve,8,0.0011562364503540975,6.464804403152136e-09,0.002236260462815008,4.356720149005319e-05,1
consider,542,0.0783350195114901,0.0012131892156108995,0.03943205924823001,0.0006349637899888413,3
considerable,33,0.0047694753577106515,6.955451528713133e-06,0.006973210844208145,0.00010581937102828196,2
considerably,8,0.0011562364503540975,0.0,0.0024723657381762725,4.149978481595505e-05,7
consideration,130,0.018788842318254083,7.362753613955905e-05,0.019612017824273808,0.0002407603206596586,3
consist,94,0.013585778291660645,0.0005688664139535274,0.014676871813745428,0.00020971525412701652,1
consistency,85,0.012285012285012284,4.683711579521694e-05,0.015557079008316687,0.0002109445336023218,1
consistent,160,0.02312472900708195,9.805068677696475e-05,0.022248750701367476,0.0002773378725369609,1
consistently,104,0.015031073854603266,0.00011491712749593048,0.015351070018089713,0.00021346653903384967,3
constant,53,0.007660066483595895,1.4329827657806385e-05,0.01091062071954729,0.00014004542188375573,0
constantly,47,0.0067928891458303225,9.850696012541118e-06,0.010162390561513952,0.00013078969134397707,0
constellation,23,0.00332417979476803,6.186740964680899e-07,0.005752944640684166,6.931527097702441e-05,7
constipation,16,0.002312472900708195,2.489891780908317e-06,0.0038498059921634035,6.724932591444018e-05,5
constitute,26,0.0037577684636508164,2.902253894442156e-06,0.006281356964719432,9.419127393590345e-05,11
constitutional,9,0.0013007660066483597,3.543902336524525e-08,0.0024017398090941207,5.045371510518851e-05,6
constraint,10,0.0014452955629426219,1.6781253857906825e-06,0.0025013886322418836,6.113152098901574e-05,6
constricted,9,0.0013007660066483597,1.2812680276432681e-07,0.002552230292351078,5.367748291478301e-05,5
constrictive,10,0.0014452955629426219,2.7507879253233047e-07,0.001892277223824504,6.766291140850725e-05,1
construct,10,0.0014452955629426219,2.6109103476078225e-08,0.0031310420303279126,5.591937229931084e-05,0
consult,172,0.024859083682613095,0.00013506409240790664,0.02328888908308703,0.00030190160137257645,3
consultant,34,0.004914004914004914,6.560626604512564e-05,0.003304869744667661,0.00020065242265360876,11
consultation,241,0.034831623066917186,0.00035317160079373475,0.028010261401238808,0.0004205115450778678,3
consume,107,0.015464662523486054,0.00013659032144052968,0.016313061281423975,0.0002569372010116241,9
consumer,72,0.010406128053186877,4.9790940863424974e-05,0.01197272403274412,0.00017853550281277886,0
consumption,92,0.01329671917907212,3.39506843897657e-05,0.014711353944695705,0.00020228906552138587,7
contact,293,0.04234715999421882,0.0007711682225736902,0.02531640040209917,0.0004234949254820877,1
contain,242,0.034976152623211444,0.0007616240286866563,0.024435306704548004,0.0004848973440896366,1
container,60,0.00867177337765573,3.710628344726301e-05,0.010484517071367267,0.0001744740630087727,1
contaminate,10,0.0014452955629426219,1.951168276195494e-07,0.002698452035611722,5.972417581684146e-05,0
contemporary,30,0.004335886688827865,1.8135470199333857e-06,0.007013808331378615,0.00010248589404168619,2
content,148,0.0213903743315508,0.00041203232757842424,0.017411423315857964,0.0003385439995825129,0
